date,retail and recreation,grocery and pharmacy,parks,transit,workplaces,residential,sub region
10/31/2021,7.695652174,56.84782609,14.61956522,-1.282608696,-5.684782609,11.72826087,Araria
1/31/2022,16.45901639,64.60655738,14.83606557,10.31147541,0.295081967,10.09836066,Araria
1/31/2021,-29.19354839,,51.16129032,38.70967742,-11.67741935,12,Arwal
4/30/2021,-21.65168539,,42.13483146,56.39325843,-16.65168539,9.550561798,Arwal
7/31/2021,-25.73913043,,68.81521739,42.2173913,-14.31521739,11.15217391,Arwal
10/31/2021,-16.34782609,,60.18478261,53.90217391,-9.97826087,11.7173913,Arwal
1/31/2022,-5.557377049,,80.55737705,64.04918033,-1.163934426,9.852459016,Arwal
1/31/2021,-6.580645161,13,10.19354839,9.258064516,-6.838709677,13.19354839,Aurangabad
4/30/2021,-0.674157303,28.1011236,13.70786517,12.37078652,-10.1011236,11.8988764,Aurangabad
7/31/2021,-4.695652174,13.48913043,30.52173913,6.847826087,-13.58695652,14.2173913,Aurangabad
10/31/2021,8.706521739,20.83695652,26.70652174,23.7173913,-3.184782609,11.54347826,Aurangabad
1/31/2022,15.14754098,34.29508197,42.93442623,42.81967213,3.049180328,10.06557377,Aurangabad
1/31/2021,-4.032258065,28.09677419,-4.516129032,2.806451613,5.548387097,14.61290323,Banka
4/30/2021,0.617977528,44.1011236,-32.21348315,13.96629213,-1.370786517,14.08988764,Banka
7/31/2021,-0.532608696,58.98913043,-38.43478261,13.97826087,-4.336956522,15.54347826,Banka
10/31/2021,10.14130435,78.80434783,-36.19565217,28.52173913,2.608695652,13.34782609,Banka
1/31/2022,25.70491803,95,-25.63934426,54.75409836,11.78688525,11.95081967,Banka
1/31/2021,-7.387096774,51.32258065,2.935483871,-11.80645161,-2.225806452,8.870967742,Begusarai
4/30/2021,-2.595505618,73.47191011,6.662921348,-2.853932584,-6.876404494,6.303370787,Begusarai
7/31/2021,-3.72826087,80.09782609,8.163043478,-6.815217391,-8.967391304,8.260869565,Begusarai
10/31/2021,10.09782609,99.02173913,24.38043478,5.869565217,-0.065217391,5.97826087,Begusarai
1/31/2022,18.81967213,112.2295082,44.96721311,20.40983607,6.213114754,5.016393443,Begusarai
1/31/2021,-12.41935484,25.80645161,-3.064516129,-13.58064516,-5.516129032,12.5483871,Bhagalpur
4/30/2021,-9.696629213,39.20224719,-1.640449438,-4.404494382,-9.359550562,11.62921348,Bhagalpur
7/31/2021,-16.67391304,39.63043478,-13.26086957,-11.41304348,-15.72826087,13.93478261,Bhagalpur
