District,01-08-2021,02-08-2021,03-08-2021,04-08-2021,05-08-2021,06-08-2021,07-08-2021,08-08-2021,09-08-2021,10-08-2021,11-08-2021,12-08-2021,13-08-2021,14-08-2021,15-08-2021,16-08-2021,17-08-2021,18-08-2021,19-08-2021,20-08-2021,21-08-2021,22-08-2021,23-08-2021,24-08-2021,25-08-2021,26-08-2021,27-08-2021,28-08-2021,29-08-2021,30-08-2021,31-08-2021,01-09-2021,02-09-2021,03-09-2021,04-09-2021,05-09-2021,06-09-2021,07-09-2021,08-09-2021,09-09-2021,10-09-2021,11-09-2021,12-09-2021,13-09-2021,14-09-2021,15-09-2021,16-09-2021,17-09-2021,18-09-2021,19-09-2021,20-09-2021,21-09-2021,22-09-2021,23-09-2021,24-09-2021,25-09-2021,26-09-2021,27-09-2021,28-09-2021,29-09-2021,30-09-2021,01-10-2021,02-10-2021,03-10-2021,04-10-2021,05-10-2021,06-10-2021,07-10-2021,08-10-2021,09-10-2021,10-10-2021,11-10-2021,12-10-2021,13-10-2021,14-10-2021,15-10-2021,16-10-2021,17-10-2021,18-10-2021,19-10-2021,20-10-2021,21-10-2021,22-10-2021,23-10-2021,24-10-2021,25-10-2021,26-10-2021,27-10-2021,28-10-2021,29-10-2021,30-10-2021,31-10-2021,Mean Vaccination
Sukma,133981,134211,134833,135386,136178,137347,137581,137681,137847,138132,138638,138906,139152,139599,139599,139916,140398,141296,142087,142143,142400,142511,142704,143225,143470,143915,144248,144661,144759,144771,145082,145287,145676,146224,146409,146509,146712,147126,147377,147511,147780,148085,148106,148404,149067,149611,150416,151012,151584,151863,154049,156796,159393,162466,165697,167576,168201,168732,170599,172430,173434,174467,175430,175716,176367,178148,179357,180975,182339,182987,183513,184803,186805,188759,189258,189428,190188,190549,191808,192352,193749,205202,206148,207034,207482,208134,210545,211997,213267,214589,215874,216091,162871.0
Surajpur,263001,264460,266073,267321,268362,270714,271747,271791,272571,273836,275482,276923,277822,278534,278534,279191,280142,281115,281907,281911,282251,282251,282866,283421,284638,285723,286549,287404,287621,287989,289849,291918,294185,295297,297245,297775,299817,302522,307452,309788,312987,317460,319680,323777,325998,327703,328887,329946,334094,336909,352624,365817,379764,393819,406327,418450,422346,431965,438854,441844,444280,445961,446628,446779,451635,456566,458612,464485,470995,480623,485278,494625,501900,506606,508969,509129,511415,511938,514792,516511,520110,547824,551368,554784,555394,559271,563059,566475,571947,577416,582009,582773,380298.0
Surguja,404483,406335,408510,410641,413156,418779,421820,422520,424408,426436,429830,432583,434419,435674,435753,437626,439646,442206,444834,445120,446225,446390,447025,447937,449349,450608,451426,453327,453757,454042,455241,457450,459767,461621,463483,463970,466800,469480,471921,472708,473639,475248,475607,478514,480751,485565,490642,493291,497631,500543,509087,516475,524497,532475,540044,549629,555313,561993,569081,573135,575679,577397,578137,578706,582658,587795,589936,595250,601137,606790,609592,615312,622101,627628,632916,633530,635880,637299,641098,642826,645941,673696,678303,681355,682863,691842,702039,711650,720828,731821,742251,745916,527616.0
Dadra and Nagar Haveli,357098,359574,362253,364388,366946,369608,373126,374620,377430,380200,382652,385180,387878,391165,391593,393950,396890,399220,401309,403505,406270,406297,409056,411669,414004,415933,418808,422262,423106,425088,427043,429180,431521,434402,437334,437938,440951,443493,445049,447496,449079,451596,452086,454130,456724,459220,462640,471376,473384,474053,477006,480562,482914,485868,490070,494593,495328,499041,502709,505310,508694,513128,513318,514295,518742,523254,525833,528445,531958,535242,535746,538496,541852,543441,545812,546602,548923,549365,552342,554671,556543,558994,561346,563484,563696,565402,567385,568852,570269,571297,571304,571325,468731.0
Daman,226965,228547,230012,231371,232832,234616,236472,236473,237787,239231,240680,242150,243532,246072,246072,247730,249401,250833,251956,253616,256371,256371,258565,260781,262888,264686,266816,270600,270600,272449,273784,275553,277610,279786,283967,283967,286423,288316,290012,292602,292602,296260,296258,298350,300245,302738,305601,313900,315767,315767,319709,323408,326953,330996,334132,338640,338641,341728,344331,345859,347940,352532,352532,352532,356431,359112,361121,362744,364467,366536,366536,368419,369616,370631,371548,371818,373106,373106,374664,374664,376414,377775,379038,381076,381076,383260,385068,386529,387426,388961,389749,389749,310397.0
Diu,48690,48840,48953,49084,49201,49372,49601,49767,50004,50129,50260,50641,51041,51564,51844,52134,52565,53035,53544,53997,54324,54324,54824,55344,55833,56302,56743,57043,57131,57131,57502,57888,58238,58569,58931,58931,59205,59688,59973,60284,60284,60545,60612,60850,61110,61450,61681,62078,62206,62206,62606,63045,63527,63938,64179,64460,64460,64752,65087,65297,65676,66009,66156,66156,66383,66583,66761,66949,67126,67272,67272,67450,67604,67742,67916,68053,68197,68197,68365,68450,68588,68738,68960,69190,69190,69421,69556,69662,69746,69852,69932,69932,60804.0
Central Delhi,1019850,1027327,1032701,1041305,1050143,1052371,1061810,1062796,1070447,1082305,1090723,1102497,1112750,1126379,1126826,1141794,1157122,1169638,1183024,1193194,1201605,1201621,1214259,1226496,1235735,1248428,1259909,1276501,1277266,1288369,1298344,1305265,1316563,1327445,1340968,1341570,1355940,1368250,1377461,1388327,1398087,1408220,1408722,1421647,1433856,1444092,1454718,1475142,1481968,1482996,1499125,1514686,1527239,1542035,1554172,1573136,1575796,1590417,1604991,1617144,1631921,1647431,1658253,1659036,1673186,1684773,1692561,1699099,1707095,1719825,1721212,1732658,1740598,1746119,1752219,1752318,1761660,1763715,1771626,1776806,1780507,1786546,1790920,1796449,1796560,1802676,1807880,1812038,1815888,1819760,1826125,1827851,1453465.0
East Delhi,754094,761539,770058,777648,784769,796550,806952,808541,821850,833230,846123,857009,866806,879461,880062,892048,905445,916985,929341,939684,946659,947305,959270,972192,979736,992757,1004718,1019583,1021429,1033954,1045614,1055717,1067731,1079150,1092471,1093459,1106640,1119831,1130733,1143023,1154499,1166296,1170842,1185081,1198821,1211554,1224486,1247720,1252923,1258674,1274146,1289389,1303507,1319500,1334063,1353050,1353801,1370103,1384586,1396548,1409295,1423929,1438418,1439453,1453910,1467341,1476392,1484007,1493336,1506314,1509258,1519938,1528333,1534747,1541416,1541652,1551138,1555292,1563317,1569955,1575063,1580859,1586414,1593139,1593343,1599795,1606639,1611881,1616832,1621703,1629313,1632794,1221141.0
New Delhi,848636,856946,865657,871707,880433,889455,899101,899500,912617,924261,937016,947921,957255,968173,968238,979633,991435,1001410,1011289,1017111,1025233,1025677,1035016,1043994,1050418,1062030,1071344,1079589,1079944,1088143,1096493,1103646,1113876,1121240,1127591,1128060,1133455,1145299,1154389,1164743,1173021,1180764,1181283,1191449,1201817,1208262,1218330,1236700,1240679,1241520,1255040,1267895,1278183,1288708,1295932,1307275,1307772,1319778,1332065,1341582,1352451,1363296,1367504,1367961,1377864,1389131,1396728,1404055,1411838,1420846,1422083,1430286,1438013,1442906,1448009,1448117,1454395,1455784,1461800,1465109,1468338,1474828,1479979,1484966,1485209,1490057,1495759,1499990,1504023,1508473,1514035,1515605,1215059.0
North Delhi,768235,774105,782167,789436,797775,803695,812576,812642,826424,839756,851679,865415,876757,891195,891231,903672,917992,931410,946146,956319,962418,963205,971837,986810,998281,1012888,1027995,1044989,1045221,1060797,1077223,1089265,1105123,1119965,1134489,1134650,1151217,1169717,1187600,1204471,1221494,1232919,1234056,1253138,1272077,1284668,1295599,1325761,1334179,1339697,1364552,1387241,1408609,1431524,1449193,1468430,1472617,1497081,1518489,1535487,1555603,1576749,1588545,1588621,1604009,1620625,1630942,1639727,1649645,1666342,1676396,1687566,1696312,1703019,1708388,1708423,1716619,1721153,1729683,1736919,1743219,1749826,1755641,1763381,1763415,1770023,1776022,1781311,1786416,1791847,1800544,1803503,1307653.0
North East Delhi,623402,627827,631017,635333,639497,640546,645238,645238,650339,657915,663791,671377,678591,686686,686717,696584,706195,714490,722613,729931,734007,734054,742906,751821,758212,766694,775750,786825,786855,795250,803417,810002,818528,827162,837261,837261,848459,858694,867978,876661,885679,893235,893346,905369,916309,926487,934742,951560,958147,958791,973420,986169,997955,1009053,1019531,1033503,1040291,1055244,1067577,1078498,1089217,1102790,1114310,1121001,1135142,1146152,1153996,1159310,1166691,1176305,1183237,1193880,1201153,1206343,1211737,1211737,1219533,1222755,1230721,1236602,1241568,1246740,1251282,1255829,1258088,1265113,1271940,1277968,1282934,1289193,1296158,1300039,951908.0
North West Delhi,1169802,1181914,1192795,1204166,1216307,1227157,1242196,1243271,1260709,1277972,1294619,1311531,1327030,1346397,1346892,1367932,1389001,1407413,1427479,1444267,1455415,1455889,1475568,1494286,1507662,1528692,1548123,1572483,1573200,1593429,1612047,1628007,1647670,1666314,1685765,1686410,1708647,1729875,1748813,1767423,1785056,1800735,1801152,1820711,1839925,1857693,1875551,1908678,1917424,1918236,1946085,1971293,1994558,2015173,2036719,2065713,2066714,2090991,2111633,2130190,2149747,2172513,2189343,2190326,2210410,2227003,2241202,2251031,2263122,2281068,2283811,2298417,2309435,2318157,2326989,2327276,2340888,2346205,2357282,2365359,2372818,2381145,2388181,2396252,2396771,2404960,2412743,2419988,2425949,2432222,2439814,2442394,1861757.0
Shahdara,660147,667373,674988,682611,688990,695657,704423,704889,719460,733566,745664,757079,768090,782824,782960,797297,811230,823198,835464,845267,852075,852418,864835,877620,885595,897438,910396,926170,926383,939612,950404,958064,969929,979459,994740,994913,1009274,1023538,1032994,1042209,1050891,1059940,1060063,1072436,1084204,1093730,1101959,1121009,1127534,1127604,1144803,1160942,1172757,1185786,1195616,1210804,1210891,1225619,1237349,1245148,1255191,1266711,1275778,1275839,1287872,1297263,1302668,1307219,1312988,1322951,1325522,1333428,1339774,1344151,1348912,1348941,1357179,1359306,1365501,1370672,1374385,1378898,1382924,1386746,1386973,1392758,1397475,1401116,1403875,1407848,1412822,1414432,1084744.0
South Delhi,1126044,1135354,1145584,1153214,1162202,1173531,1184781,1186957,1197893,1208129,1214819,1224618,1234357,1248607,1248767,1261065,1271201,1279899,1288852,1296548,1302425,1303334,1314371,1324062,1329010,1341969,1356402,1374847,1376640,1388442,1397597,1407765,1419933,1432367,1448394,1449952,1463168,1478269,1489895,1502524,1514338,1524942,1526169,1538066,1551693,1563598,1575515,1597555,1604598,1608942,1624544,1640284,1653810,1668781,1683267,1701708,1704806,1721421,1734817,1746564,1759248,1774251,1785074,1787194,1801686,1813625,1821470,1829178,1838083,1852222,1855413,1864385,1871435,1876747,1882345,1882728,1891682,1894672,1901137,1906772,1911681,1917045,1921780,1927655,1928044,1933295,1938564,1942156,1945993,1950074,1955931,1957696,1573353.0
South East Delhi,977245,983530,990839,998293,1006007,1012694,1025603,1026678,1037666,1049268,1059754,1070929,1081835,1096127,1096776,1111678,1126285,1138012,1152478,1163891,1174781,1175613,1189494,1203956,1216000,1231641,1245468,1263260,1264699,1279972,1291381,1303428,1317663,1332519,1352798,1354206,1371676,1389274,1403883,1421279,1436109,1450719,1451879,1469686,1486962,1501994,1517345,1544398,1552562,1553272,1573081,1591506,1607786,1626437,1643448,1666030,1666935,1686827,1705978,1721401,1739307,1758016,1774010,1778258,1796779,1813295,1826156,1836519,1849174,1865165,1867995,1882858,1895318,1904455,1914105,1914564,1928224,1933866,1944785,1954403,1962300,1970851,1978627,1987855,1988125,1997801,2006239,2012844,2019142,2025263,2032874,2035086,1517796.0
South West Delhi,1097568,1108851,1123281,1132070,1140233,1153934,1169713,1171794,1192315,1208894,1221624,1237483,1250931,1269864,1270820,1285997,1304410,1319887,1338246,1354362,1365307,1365977,1383863,1402698,1413182,1432642,1450800,1473854,1476253,1495239,1513095,1528268,1547903,1564385,1585239,1587083,1607137,1626755,1642775,1661355,1677385,1693817,1695306,1714356,1733909,1751005,1769991,1805434,1812834,1814265,1837865,1860970,1882006,1906363,1927365,1956376,1957606,1982952,2002591,2022686,2043964,2066360,2088220,2089616,2111982,2130260,2144598,2155813,2167988,2186405,2193862,2208524,2220757,2229472,2238842,2239334,2253655,2260547,2271864,2280879,2289078,2298359,2305667,2314674,2315013,2323393,2332235,2339539,2346456,2353024,2362864,2365116,1769669.0
West Delhi,1059763,1073946,1086302,1095850,1105423,1114087,1127335,1128549,1146362,1161838,1178179,1191838,1203871,1220290,1220772,1238524,1253309,1269249,1281610,1297321,1306348,1306502,1323466,1336204,1345440,1363206,1381220,1399872,1400949,1419443,1432960,1442223,1460546,1477364,1496070,1496736,1511477,1530661,1549056,1567093,1584245,1599230,1599872,1615691,1633294,1647637,1658655,1693547,1700512,1701235,1723553,1742015,1762396,1783523,1799967,1813126,1813817,1836618,1857674,1874799,1893364,1913427,1923477,1924064,1941242,1958364,1972478,1984017,1997522,2014403,2020980,2037053,2049821,2059448,2068414,2068785,2081335,2086927,2098256,2107285,2115063,2123707,2131386,2139839,2140030,2148653,2156719,2164639,2171333,2178211,2186238,2186490,1657452.0
North Goa,636256,640073,643630,646412,649275,653070,658815,661017,665389,669510,673598,676637,680057,686579,688622,692894,696370,700027,703511,707169,713146,715147,719514,723447,727279,730690,735356,742278,745284,749515,753800,757598,760728,763780,767707,770523,774827,778800,782207,785521,785522,785628,788343,792339,795834,800250,805852,818045,822198,827109,834151,841895,849711,856018,863269,871335,876287,883976,890841,896096,900896,906800,912399,916274,921761,927504,931795,935564,939457,944910,947951,952718,957394,961275,964304,965854,969957,972293,976521,980051,983269,986221,989611,994348,996687,1000728,1004702,1007688,1010697,1013482,1017615,1024652,826371.0
South Goa,699067,703089,706687,710033,712921,717120,723629,726647,731522,735857,739988,743553,748426,756145,758703,763751,768454,772720,776490,780169,787243,789510,793798,798386,802186,806779,810991,818652,822046,827336,832766,837541,841851,845909,851415,855957,861306,866483,871268,876157,876157,876167,880480,886603,892670,898512,905114,919915,925547,932324,942841,951638,961486,969731,977452,989164,995599,1004359,1011844,1018549,1023784,1030443,1036347,1041262,1047208,1052183,1056305,1059993,1064760,1070260,1074181,1078344,1081841,1085184,1088113,1089685,1094358,1097460,1101827,1104671,1107875,1110768,1114298,1119001,1122083,1125912,1129449,1132376,1135109,1137662,1141091,1148988,924908.0
Ahmedabad,896594,906333,916806,916970,929019,948016,966498,979974,993532,1008050,1019895,1043791,1067450,1088907,1106209,1121850,1136663,1149859,1166208,1173680,1184635,1184758,1197857,1206500,1216470,1235226,1249873,1260756,1260915,1260915,1290666,1315191,1334793,1348940,1358430,1375915,1397347,1413569,1433482,1451518,1467058,1477550,1482066,1486178,1501079,1511099,1521083,1613301,1617270,1618334,1626798,1630585,1659225,1662285,1677022,1688650,1689267,1704034,1707720,1715655,1728253,1734404,1739505,1741454,1760517,1777536,1785562,1804503,1823379,1844209,1867045,1871738,1881661,1897429,1914236,1920712,1934303,1939638,1952859,1958616,1973017,1991583,2004406,2017431,2022130,2034864,2051923,2065175,2081842,2096087,2112291,2116622,1521905.0
Ahmedabad,3835381,3873749,3913512,3914815,3955876,4006310,4061658,4085793,4127298,4164533,4173080,4212272,4247421,4288603,4298228,4330310,4364551,4382099,4418468,4444210,4468614,4468919,4503237,4541999,4564636,4603391,4637315,4676775,4677883,4678388,4727259,4773967,4818598,4857293,4874493,4910395,4955910,4997363,5033669,5072459,5098272,5128478,5133028,5137437,5173226,5202834,5232418,5447495,5501382,5568972,5647370,5717465,5826495,5939722,6055160,6175567,6230816,6317841,6399788,6460327,6515570,6565563,6602938,6622582,6668665,6709556,6743237,6770601,6798120,6833308,6872549,6897767,6919076,6934931,6951384,6958409,6984007,7003989,7029878,7054109,7076149,7097857,7121630,7148091,7162178,7183935,7205622,7224139,7241088,7258282,7276065,7284893,5587511.0
Amreli,676953,681437,693076,694391,710802,724813,740601,752126,766738,778845,789762,805901,820479,835619,843257,853986,866352,875058,884212,890733,902913,903995,916240,926491,934027,944988,956018,964782,965815,965856,977211,988532,1001729,1014664,1026207,1032634,1040346,1049794,1057988,1067257,1078794,1089403,1095913,1104210,1111977,1113360,1113411,1169043,1173260,1176107,1179888,1182064,1193431,1197826,1214665,1221291,1221667,1232770,1237467,1237595,1258289,1267003,1268965,1269979,1284256,1292708,1301185,1314697,1324692,1332541,1347891,1354852,1361546,1366742,1376263,1376769,1386094,1391145,1400583,1408594,1414356,1420987,1427363,1432606,1434488,1438857,1445858,1452307,1459687,1468741,1475168,1479359,1116319.0
Anand,1018370,1026660,1032742,1032839,1047711,1064000,1078827,1093091,1107229,1123036,1134227,1171715,1205679,1242441,1280027,1311418,1347312,1377520,1402348,1408122,1423438,1423537,1448062,1462299,1481383,1502450,1523138,1541119,1541264,1541264,1578880,1613305,1644974,1661907,1677810,1702084,1728297,1751285,1774081,1799486,1819119,1831121,1834790,1835462,1849203,1859352,1863558,1952329,1963214,1969894,1982509,1990567,2007036,2016372,2032232,2043280,2043656,2054686,2056682,2065606,2080658,2086092,2092939,2093179,2109436,2125633,2141662,2159979,2183277,2200774,2211110,2218433,2228964,2234595,2246865,2251613,2262015,2266913,2276956,2282886,2292166,2304025,2315147,2325018,2327982,2336630,2342421,2348045,2363251,2381201,2400016,2407758,1807540.0
Aravalli,571389,578896,582879,582925,591564,600081,608149,613752,623740,631869,635402,646655,657614,667976,672100,681764,687899,692975,701454,707784,714066,714251,724984,732478,739650,750428,759677,769267,769779,769779,789472,804226,815964,828211,837143,845145,855879,865769,874698,884509,896821,905235,914359,919074,927759,934028,934982,986314,991543,997332,1005971,1015455,1023775,1029712,1041423,1047552,1049543,1059790,1063989,1074430,1084109,1091631,1095719,1097293,1104916,1115554,1120708,1127680,1135769,1141857,1154812,1159897,1167379,1171483,1176293,1176575,1182952,1183204,1188488,1188554,1192683,1197912,1203837,1206630,1206685,1209415,1218617,1221338,1224864,1235301,1240217,1240325,933305.0
Banaskantha,1337209,1349350,1368876,1369001,1418232,1465923,1505382,1548958,1602838,1646853,1692683,1740866,1791979,1841009,1885270,1933536,1975097,2016042,2055763,2073368,2100787,2101277,2140258,2171443,2202975,2263961,2292990,2328138,2329971,2329972,2393386,2440017,2480999,2510888,2532125,2551295,2581441,2605929,2629129,2648691,2667877,2685632,2699210,2716022,2730288,2744317,2748856,2839353,2851169,2864752,2882577,2899154,2916353,2931881,2949143,2963661,2968420,2981801,2992692,3002311,3010614,3017139,3024683,3027585,3037354,3044464,3051616,3058326,3064789,3069845,3099567,3105438,3112417,3117561,3124283,3125503,3135230,3136190,3148332,3150249,3170469,3178571,3187888,3196033,3199328,3207438,3233416,3241484,3254281,3273479,3294482,3298393,2594411.0
Bharuch,895934,903510,911835,912608,927693,943195,958194,969225,981966,997070,1003156,1018278,1034784,1051243,1063268,1077009,1090302,1101901,1105710,1114410,1123933,1123996,1137346,1148465,1157957,1172504,1186004,1198562,1198663,1198691,1232015,1256231,1278490,1291505,1299699,1313908,1329317,1344582,1357912,1372417,1385621,1397164,1402768,1406657,1413865,1421357,1428839,1491653,1499797,1505772,1516277,1522318,1541371,1549493,1563229,1573969,1575711,1585567,1588519,1591830,1603832,1607570,1608820,1608824,1626922,1641425,1652882,1664356,1677446,1688057,1706905,1716270,1724748,1733089,1743244,1746871,1755885,1759422,1767988,1770778,1786917,1799303,1809395,1817941,1820133,1829497,1838746,1847494,1858912,1872160,1882854,1887329,1419579.0
Bhavnagar,748793,758631,768234,769331,780138,792434,800732,805234,816171,825874,831568,844051,853547,865871,870945,882562,893664,901197,909369,917870,929703,930251,943594,955506,965067,985243,1007407,1026735,1028008,1028008,1049173,1076030,1102664,1122662,1136939,1155424,1175308,1197664,1216749,1236257,1256433,1273042,1285226,1294098,1308266,1321179,1331556,1423338,1432633,1436163,1440796,1442556,1460469,1467321,1480925,1491932,1493952,1506111,1511418,1513544,1528232,1537071,1544960,1547883,1564759,1581316,1594661,1617785,1631677,1645966,1699800,1710404,1723876,1742213,1758473,1761858,1774459,1775471,1790887,1793807,1813152,1839243,1853068,1865140,1866254,1876584,1892304,1902655,1910821,1919313,1953920,1954989,1326615.0
Bhavnagar,419891,423083,426381,426381,432555,437308,442457,445295,448713,452302,453833,458332,461805,465963,467405,471161,474297,475678,478268,480742,483602,483602,486202,489059,490909,494988,497899,500726,500726,500726,507537,512444,517317,522519,527196,529917,533931,537585,540773,543895,546444,549632,551182,552794,556110,557755,558224,577585,579841,581787,585555,588311,591588,594274,598340,602415,603480,607161,609525,609883,612241,614291,615151,615585,619925,622567,625544,628449,630665,633368,646223,650346,655152,660233,665026,668088,671837,674792,678993,683212,686652,690701,695616,698610,699400,701745,704187,705905,707680,709242,710746,711506,566728.0
