District,01-05-2021,02-05-2021,03-05-2021,04-05-2021,05-05-2021,06-05-2021,07-05-2021,08-05-2021,09-05-2021,10-05-2021,11-05-2021,12-05-2021,13-05-2021,14-05-2021,15-05-2021,16-05-2021,17-05-2021,18-05-2021,19-05-2021,20-05-2021,21-05-2021,22-05-2021,23-05-2021,24-05-2021,25-05-2021,26-05-2021,27-05-2021,28-05-2021,29-05-2021,30-05-2021,31-05-2021,01-06-2021,02-06-2021,03-06-2021,04-06-2021,05-06-2021,06-06-2021,07-06-2021,08-06-2021,09-06-2021,10-06-2021,11-06-2021,12-06-2021,13-06-2021,14-06-2021,15-06-2021,16-06-2021,17-06-2021,18-06-2021,19-06-2021,20-06-2021,21-06-2021,22-06-2021,23-06-2021,24-06-2021,25-06-2021,26-06-2021,27-06-2021,28-06-2021,29-06-2021,30-06-2021,01-07-2021,02-07-2021,03-07-2021,04-07-2021,05-07-2021,06-07-2021,07-07-2021,08-07-2021,09-07-2021,10-07-2021,11-07-2021,12-07-2021,13-07-2021,14-07-2021,15-07-2021,16-07-2021,17-07-2021,18-07-2021,19-07-2021,20-07-2021,21-07-2021,22-07-2021,23-07-2021,24-07-2021,25-07-2021,26-07-2021,27-07-2021,28-07-2021,29-07-2021,30-07-2021,31-07-2021,Mean Vaccination
Etah,69698,69697,70096,70422,70719,71052,71417,71801,71801,72092,72272,72689,73434,74194,74687,74687,75193,75714,76100,76423,76958,77702,77702,78695,79454,79912,80750,81944,83036,83036,84036,85721,87026,88728,90487,92675,92682,95045,97542,99790,102406,105198,108605,108605,111429,113722,116041,118375,121400,124405,124438,129450,135373,139746,145288,174257,177349,177668,182698,184022,184022,186579,190446,194233,194250,202757,212998,216885,225127,231267,232639,232639,237204,242835,246514,252328,254531,258395,258427,264479,266891,269106,277429,287873,290441,290445,297352,300694,305240,309893,318980,324808,151362.0
Etawah,84753,84760,85062,85363,85592,85808,86135,86385,86384,86739,86959,87694,88902,89474,89899,89899,90417,90806,91103,91686,92464,93049,93049,93488,93874,94122,94411,95067,96043,96100,96738,98860,100094,102623,105354,106856,106910,111075,114744,116811,120578,125020,127689,127985,132515,137058,139548,142904,147208,149171,149210,153171,157867,160661,165146,206790,210892,211189,214141,215333,215892,217459,221257,229167,230326,238705,247136,254119,261194,266971,267880,267894,271141,276706,280506,286193,289111,292351,292528,295949,300407,306027,312623,320524,325122,325326,331807,335844,340768,345503,350382,357744,175046.0
Farrukhabad,86604,86615,87422,88012,88614,89218,89580,89855,89870,90284,90627,91167,91718,91998,92289,92298,92754,93222,93426,93714,94065,94403,94403,94740,94971,95077,95230,95618,96233,96233,96518,98265,99274,100533,103079,106017,106145,109425,113201,117172,120896,124933,129261,129281,134018,139105,143169,145899,149635,154054,154158,160435,167765,175267,181676,228704,230631,230895,234532,236038,237457,238855,240472,242574,242813,246849,250969,256660,261408,268089,276067,276637,279325,282173,286274,288381,295117,302802,303382,306734,309158,312153,320398,330097,333903,334006,337688,341426,345812,349804,353478,360429,180344.0
Fatehpur,115646,115662,116198,116622,117082,117827,118569,119322,119323,119844,120391,121612,123518,124598,125663,125691,126913,127655,128177,129004,129928,130750,130757,131659,132574,133956,135178,136518,137967,137976,139377,141112,142612,144507,146936,149287,149343,151586,153659,155857,158284,161348,164771,164949,168452,171755,174820,177604,180614,184279,184313,191084,200022,208909,218430,274794,284682,285152,289897,295435,297584,303753,310847,319814,320569,330622,344271,352144,353639,363651,370042,370268,376192,386246,390653,399636,406100,411273,411281,427243,430533,443554,447265,471380,485260,485828,501993,506114,516035,517503,536125,546073,244717.0
Firozabad,115518,115522,116999,118240,119528,120275,121243,122086,122085,124179,126980,130057,133175,135807,138104,138104,141877,145426,148723,151764,155188,158491,158505,162269,165826,169172,172161,175504,178869,178870,182045,184918,187903,190791,193636,196373,196379,199655,202656,205626,208370,211517,214638,214671,217628,220165,222882,225199,228171,231306,231360,235752,241899,249824,257716,304520,308609,309386,312971,313944,314228,316894,320951,324266,324359,332130,341124,349805,358554,367303,368810,368842,373926,378091,387242,394594,401216,405212,405652,413959,418198,422630,431644,442896,449497,450145,459920,466537,472966,479094,485703,492794,259568.0
Gautam Buddha Nagar,283371,283354,286058,288686,291411,294122,296220,298841,298986,302485,306868,311963,317268,323799,328872,329259,338949,348157,357522,368552,381358,393505,395563,409106,423478,437999,455343,474477,496111,500621,520498,539819,561503,584579,608076,630879,637867,657046,674653,693883,711622,730621,755752,762285,778117,793727,809323,830083,853329,879635,883154,901062,925229,946685,972781,1122697,1151590,1156028,1170218,1176697,1184890,1196752,1210549,1227637,1232330,1252416,1273322,1291611,1304967,1320424,1340262,1344132,1356074,1368069,1382749,1394054,1407008,1421811,1425428,1435646,1445454,1456228,1468120,1481133,1502247,1505562,1515755,1526730,1539452,1552390,1565265,1591383,864800.0
Ghaziabad,284841,284824,288554,291993,295971,298440,299872,300976,300943,303984,309525,315675,322449,328204,332124,332103,340860,349613,358780,367967,377310,386632,387261,400804,414519,427741,444353,461076,475253,475250,486470,498531,511365,525785,539910,555460,557000,571567,584310,595877,607595,622200,636219,637674,649228,660888,672819,685810,699677,712252,713726,740786,767682,788823,816638,970839,994245,995850,1007661,1014244,1015870,1026867,1039163,1052821,1054143,1076574,1107812,1119888,1129449,1149081,1166846,1168648,1180827,1198928,1209390,1225812,1237188,1250749,1252902,1272992,1286298,1301243,1322428,1351211,1362061,1363797,1389302,1397331,1410310,1420857,1450967,1460652,769907.0
Ghazipur,126931,126943,128444,129675,130560,132477,134284,135314,135356,136746,137493,138770,140717,141705,142728,142727,144944,146232,147866,148851,150277,152002,152329,154448,156566,158293,160825,164141,166825,166981,169266,175114,183671,193926,203545,211633,213627,228128,244626,252450,259382,265146,270857,271517,279016,286219,293506,299592,306251,314303,314724,326627,344100,359711,380870,453246,456706,457260,466096,467887,468952,476139,484032,493203,493774,510949,532560,542722,556045,567242,574654,575155,584233,596064,603151,608263,619668,626194,626574,636967,647261,656447,670135,688253,699535,700445,715956,724148,737946,741538,761677,773960,358416.0
Gonda,150464,150506,152465,154629,156269,158789,161019,162413,162413,163769,165427,167025,168957,170439,171788,171788,176432,181580,186114,190858,196672,203383,203413,211578,217958,225648,233717,240124,246648,247102,257849,266702,276591,289008,299626,309841,310233,322281,334458,344421,356048,369904,382539,383037,392284,404166,413614,425129,436429,446562,446987,463057,481632,498433,516837,597775,609967,610518,620578,622110,622851,627939,636118,644815,645444,657829,673477,689250,706524,726458,732872,733144,742216,752103,768496,779874,791111,797254,797427,808181,818061,823500,835910,853381,868813,869430,884714,900251,916815,928925,947366,965522,467218.0
Gorakhpur,248835,249098,253509,258511,264084,268069,271074,272989,273320,277041,282000,289224,295869,300348,305186,305186,315448,325881,334742,342366,351436,360484,360485,372645,383966,394014,404324,412123,421210,421376,431910,440473,449196,458976,470152,479364,479693,490580,499898,508243,518263,528318,536553,536886,547795,555076,561673,570926,580488,588711,589093,615161,643763,669587,701687,846161,862012,863375,875738,879535,883350,892256,905533,912233,912683,940448,966777,978598,993787,1015501,1023557,1023804,1037349,1054193,1065921,1084670,1095342,1101895,1102619,1121938,1134346,1146335,1167687,1195234,1203296,1203511,1227541,1234730,1242952,1260688,1283425,1294610,675010.0
Hamirpur,78204,78204,78343,78464,78659,78886,79004,79158,79158,79495,79764,80085,80675,81213,81405,81406,81730,82001,82338,83040,83408,83757,83757,84145,84328,84394,84758,85368,86068,86068,86911,88267,90532,92731,95257,98437,98445,101903,104754,107828,111007,114475,118508,118576,122078,125731,128688,131749,134657,137603,137697,141661,146913,151878,158141,184282,187900,187905,191084,191653,191897,193814,196402,201737,201975,208770,215871,221398,229462,234748,235868,235875,239586,245159,247298,253334,255255,258306,258577,264264,267247,269991,275126,281657,286237,286308,294118,297830,301712,303786,305071,311915,156577.0
Hapur,78002,78000,78452,78982,79536,80147,80641,81264,81259,81639,82125,82686,83551,84070,85279,85278,86414,87066,87544,88408,89304,90570,90571,91894,93454,94585,95912,98709,101213,101212,103505,106270,108359,110858,113319,116423,116422,119044,122366,125061,128845,132686,136682,136681,140270,143937,146220,150330,153822,158802,158848,165803,173135,178648,183900,220658,227193,227213,233198,234868,235695,237620,239991,243036,243036,250747,258524,266055,273467,279208,280440,280440,285027,291547,293512,300403,302732,306346,306346,310118,316590,318285,327686,334629,337342,337354,343689,346125,355067,356605,364576,368727,182197.0
Hardoi,139549,139577,140292,141020,141793,142514,143094,143771,143787,144735,145486,146237,147067,147424,148263,148291,149127,149714,150222,150976,151573,152408,152432,153179,153911,154482,155168,155862,156509,156531,157773,160279,163064,166171,170001,173941,174235,179644,184674,189988,195116,201224,207178,207459,213545,220003,225584,230915,237520,244839,245489,257897,274807,293029,312337,383017,392353,392973,404851,407941,408193,414800,423646,440422,442060,469102,486507,501543,520394,533372,535190,535229,545577,559533,563695,579272,586595,595016,595091,610527,617237,640095,644595,677557,683951,683995,702569,706394,724215,726512,749231,757049,330130.0
Hathras,94621,94623,95270,95648,95940,96229,96516,96831,96832,97149,97410,97741,98097,98642,99790,99790,100864,101570,102352,102878,103826,104707,104735,105707,107220,108496,109601,111311,113161,113247,114928,117329,119606,122077,124294,126364,126364,129404,131930,133950,136441,139297,142723,142737,145662,147635,149261,151000,153436,156849,156856,159874,164043,171879,178186,217298,220616,220730,225489,226468,226480,230141,235216,243355,243719,253963,261478,267629,274864,280416,281285,281286,285088,290206,292636,298296,299666,304507,304520,307800,311326,312725,322110,332162,336224,336648,345434,348507,352469,356187,364202,369835,187434.0
Jalaun,91667,91668,92056,92365,92741,93113,93459,93808,93815,94167,94444,95037,95814,96324,96911,96921,97907,98626,99376,100452,101191,102760,102764,104093,105349,106850,108777,111086,113564,113875,116718,120046,123673,127644,131783,136111,136123,141277,146670,150367,155900,160546,166067,166067,171182,175973,180668,185158,189952,195874,195874,202761,211589,219888,228899,263016,267557,267576,271502,271724,271753,274648,278688,282025,282054,290363,301299,310802,321295,327851,328342,328342,333687,341407,344114,352874,353686,358380,358386,362075,365674,372021,379498,386440,391883,391883,395066,398207,401331,404520,408232,415208,212622.0
Jaunpur,214100,214593,216646,218977,221087,223691,226527,228115,228178,229259,230085,233095,236325,237627,238219,238219,239829,241404,242386,243037,244073,245033,245070,246547,247889,250333,252562,254389,256270,256483,259117,262089,265306,268641,272065,275066,275069,280422,285119,290690,296374,301655,306923,307013,312971,319838,326396,331287,338466,345472,345821,359679,380915,401454,427128,527717,540825,541779,553000,555243,555570,563828,573403,586609,587826,608330,633827,646989,661712,670457,680599,680929,690470,703765,715444,727490,734869,743052,743459,758490,770793,784060,798788,818886,836087,836767,857645,870246,887532,892623,917108,934478,447019.0
Jhansi,106340,106340,107094,107743,108233,108920,109615,110243,110240,112493,114707,117060,119492,121540,123665,123665,127647,131493,135175,138899,142740,146368,146368,151803,157379,162705,167853,173105,178324,178340,183342,188028,192355,196634,200772,205034,205034,210931,216667,221297,226352,232001,237301,237297,243207,247171,251058,255263,258678,262942,262937,268342,277195,287604,297188,357372,361951,361951,367896,368133,368692,373069,377943,382580,382580,395810,409949,416847,429516,438616,440666,440666,447871,457871,460415,470592,476369,483142,483143,491110,496094,510230,515689,531715,540633,540735,549523,553369,564356,566956,579271,586779,291199.0
Kannauj,59643,59644,59864,59970,60088,60251,60448,60575,60575,60834,60960,61209,61738,62138,62437,62437,62684,62862,62929,63135,63436,63668,63758,64287,64550,64808,65149,65523,65696,65706,66595,68715,70898,73281,76109,78947,78986,81907,85243,89223,93339,98208,103797,104056,108859,113952,118959,123407,128112,133286,133588,140444,149236,158690,167825,200195,206413,206629,212595,214212,214390,216324,218876,222485,222513,228432,234215,239405,244876,252474,259004,259157,264337,269269,273944,277427,281540,285673,285726,292000,296353,299737,304539,310373,314736,314969,322736,329116,335182,340168,346525,352928,157241.0
Kanpur Dehat,88772,88794,89025,89278,89621,89937,90309,90891,90891,91277,91717,92217,93296,94177,94554,94555,94997,95271,95558,95763,96296,97170,97170,98786,99798,101246,102145,104076,106264,106351,108190,110416,112632,114815,117071,119434,119460,123187,126365,129445,133167,137777,141943,142095,146053,149797,152761,155816,158811,162910,163392,169257,175288,179722,185122,221492,225110,225493,229348,230599,230678,232982,236423,238919,239225,244680,250846,256859,265804,272951,274538,274885,280383,287968,290259,298271,301881,306204,306209,315026,315835,326005,327801,339528,345482,345737,355318,356354,364171,364605,372201,378852,186022.0
Kanpur Nagar,283502,283539,288741,294867,300553,306405,310111,312924,313180,316973,323388,331314,336729,343943,350926,350985,360516,370074,379421,388274,397686,406878,406919,418624,430467,442968,454211,466791,479385,479387,489721,499352,509616,520373,532071,543365,543416,555133,565197,574288,583963,593496,600392,600499,608121,616389,623369,634007,644470,655796,655789,670401,685937,699605,716559,858779,874580,874653,886181,887570,891505,898271,906454,913599,913605,930584,949466,967157,986902,1003705,1007506,1007506,1017673,1032732,1041402,1058409,1064694,1074204,1074441,1080937,1098329,1111645,1127112,1144592,1159540,1159999,1172103,1182910,1195069,1206930,1219382,1230871,696326.0
Kasganj,60982,60979,61127,61460,61579,61772,61956,62115,62115,62235,62314,62598,62833,63033,63433,63433,63859,64218,64447,64643,64989,65232,65240,65674,65952,66227,66749,67440,68086,68086,68637,69947,71235,72505,73963,75537,75536,77419,79263,80697,82291,83858,85694,85694,87253,88786,90013,90896,92308,93686,93798,98265,103916,110073,116306,143595,146357,146371,150354,151087,151566,153264,156232,158734,158734,164344,170459,173927,178290,183304,184833,184840,187941,191849,194075,198634,201314,204262,204263,209761,211759,216707,222299,228833,234230,234254,240716,244809,249912,253918,260693,266060,122554.0
Kaushambi,66810,66809,67025,67297,67567,67755,67994,68211,68211,68486,68740,69034,70216,70821,71272,71272,71786,72139,72402,72765,73272,73664,73664,74578,75160,75409,75799,76290,76675,76675,77825,79515,81409,83131,85062,86845,86845,89260,91287,93094,95037,97156,99537,99537,101622,103955,105630,108147,110022,111033,111034,115468,120774,126831,132104,162630,166636,166636,170914,171519,171519,173106,176125,179351,179351,184423,190077,194824,198568,204238,207978,208008,211882,216479,219555,224313,226388,230130,230130,236473,239668,243833,248322,254621,259408,259464,268284,273108,278455,281466,283300,290043,138165.0
Kushinagar,153803,153845,155095,156802,158138,158991,160024,160275,160275,160486,161006,162667,165449,167505,169314,169385,172025,173586,174643,175135,176639,177872,178619,180613,182811,184415,186622,187535,189403,189814,192261,194612,197026,200276,203368,206469,207111,211927,216446,220675,225383,229959,233990,234081,237946,241246,243656,248495,252835,257139,257154,264676,276186,289100,299719,371720,380974,382039,389745,390396,392194,394793,401925,411788,412521,429623,449545,461642,464817,478747,487371,487588,494651,504374,512327,524491,530824,536461,536479,539381,553110,555044,574976,590100,601671,601777,612746,623585,636846,642719,656630,670407,322071.0
Lakhimpur Kheri,139222,139420,139904,140587,141259,141803,142519,143196,143234,144063,144790,145698,147583,148848,150029,150030,150970,152179,153190,154663,155711,156827,156844,158242,159836,161217,164248,166936,170795,170921,175044,180269,184464,189252,193869,198029,198290,204111,209962,215622,220885,227369,233829,234032,238545,244459,250061,256166,264978,269501,269559,282002,297117,309754,325313,388271,398391,399025,410852,412373,412728,418264,427009,432798,433306,446214,466772,475115,492962,505334,508008,508196,516237,528583,535558,550077,552226,555691,555722,568654,574232,585383,598683,617168,623293,623791,641184,644084,652601,659973,671166,679402,324745.0
Lalitpur,64210,64209,64349,64544,64764,64975,65129,65259,65259,65494,65696,65964,66480,66892,67279,67279,67481,67714,67860,68088,68204,68373,68372,68588,68749,68839,68981,69224,69498,69498,69734,70793,71948,73248,74632,76122,76142,78408,80918,83167,85433,87815,90459,90464,92764,95232,97385,99848,102554,106251,106295,110938,116698,122954,129136,153125,155358,155414,158482,158770,158779,161188,163846,166463,166463,172099,178803,182524,186099,189500,192890,192902,196012,200754,202364,207397,209631,212333,212335,216025,219848,223313,229989,236657,239600,239619,245866,250428,255879,257283,264040,268683,128015.0
Lucknow,434180,434186,440439,446681,453466,460976,469249,477852,477848,484080,490866,498885,507685,514677,522396,522402,537536,553638,565577,579418,592138,604812,604814,622226,640752,657741,675187,692128,709673,709973,723657,741059,759329,776978,796596,815962,817335,833144,849808,864857,877582,892572,908023,909697,922794,936521,950296,963497,978058,994469,995358,1014836,1035444,1057594,1080904,1355023,1375215,1376720,1391916,1410343,1415567,1432111,1450836,1471071,1472650,1492959,1519428,1545362,1564286,1586500,1606421,1607760,1627013,1641076,1660105,1678523,1699084,1717844,1719435,1737767,1755667,1768795,1785814,1808621,1835239,1836725,1856547,1877668,1891106,1908990,1933360,1955625,1083120.0
Maharajganj,124140,124228,124637,125951,126601,127642,128676,129605,129666,130375,130938,131484,133348,134355,135266,135266,136219,136914,137356,137515,137919,138239,138239,139052,139964,140823,141447,141897,142705,142785,143561,145215,146994,149014,151423,153528,153732,157306,161084,164995,169013,172872,176482,176500,179829,183224,186310,192221,197146,201947,202014,210875,221881,230967,240838,293461,301338,302186,308466,310100,312357,318500,323911,334354,335351,348213,360969,366128,369417,379576,384874,385221,390694,396133,403349,411329,416288,420333,420338,430585,436197,436210,445489,454490,464309,465013,470303,476359,481615,488175,493495,501549,251401.0
Mahoba,81430,81431,81645,81819,81926,82072,82305,82541,82541,82646,82750,83198,83960,84440,84922,84922,85677,86248,86749,87461,88289,89179,89179,90231,90841,91417,91949,92501,92983,92983,93489,94811,96335,98126,99662,101521,101525,103607,105886,107811,110560,114134,116855,116856,120191,122451,124133,126520,128714,131183,131183,133623,136851,140930,144490,168361,170250,170254,174231,174241,174251,176074,179032,186465,186467,189852,202535,208087,214226,216528,221031,221033,221453,229995,232335,237191,239373,243074,243074,250557,252165,252568,262427,269176,270009,270009,276903,281020,281361,287197,295485,299657,151192.0
Mainpuri,89254,89254,89552,89804,90124,90346,90873,91195,91193,91512,91799,92556,94115,94731,95485,95535,96032,96397,96680,97385,98318,99260,99465,100254,101055,101315,101865,102413,102727,102855,103302,104403,105443,106744,108161,109555,109555,111579,113601,115534,117250,119202,121333,121597,124573,126861,128903,130509,132548,134840,134920,139612,145166,149272,154248,188449,191934,192286,196875,197206,197483,200281,203519,211322,211462,221293,229147,234044,241018,246302,247360,247693,251539,256839,258609,264844,267813,271484,271484,280766,281739,291421,294237,308044,311826,312189,322290,323295,331054,331780,343006,346851,168596.0
Mathura,148691,148776,150616,152502,154069,155766,157806,159789,160057,163445,166994,170403,175124,179506,183459,183463,189251,194295,198139,202021,207793,212609,212737,220347,228157,235892,243759,251085,258281,259148,265457,271312,276849,282237,288547,294536,294564,301306,307477,313334,319288,325716,331394,331452,336463,342120,347039,353517,359763,365793,365980,376522,389541,401568,415226,494286,503791,504206,514548,516510,516674,522819,529664,537457,537709,550516,565856,578356,592207,600023,603920,604129,612506,623551,628948,640030,644037,646861,646868,651867,661052,666977,672762,682649,694155,694496,702289,708790,713818,723995,730656,739618,399343.0
Mau,86952,86970,88190,89402,90427,91569,92554,92927,92927,93958,94646,95644,96930,97150,98197,98197,99426,100265,101070,101303,101969,103010,103010,104384,105239,105862,106611,107129,107960,107960,109473,111357,113478,115467,117422,119654,119654,123342,126666,129731,133037,136470,139754,139754,143020,145856,148288,152246,156045,159437,159436,168480,176989,186550,196912,245148,248479,248480,253907,255342,255342,259102,262226,267733,268087,274981,283291,291662,294128,302463,309216,309216,316020,322389,327786,335354,337760,338971,338971,348071,357473,357474,367788,378357,383446,383870,395075,398630,407043,409606,418626,426012,200520.0
Meerut,296534,296558,301955,307242,312176,315513,318988,322381,322369,326581,331314,337072,343553,348426,352471,352468,361765,369643,377327,385355,393238,401598,401605,412972,423669,434106,444577,456469,468994,468991,481316,493636,505707,517342,529089,540392,540387,555682,568293,580582,593337,606849,620199,620293,632347,644338,654691,666490,678925,691242,691256,708425,725735,740330,759675,914874,930394,930572,943793,949833,949998,961882,970335,979613,979718,996590,1015311,1032990,1050371,1068469,1077269,1077331,1094874,1102802,1115783,1129177,1145244,1155490,1155554,1171176,1189735,1194407,1213778,1236535,1251548,1251820,1264866,1277179,1287112,1301183,1313362,1328065,731973.0
Mirzapur,130780,130863,132693,134331,135244,137309,138919,139951,139964,141539,142751,145175,147873,148768,149334,149333,153538,157759,161158,164672,168527,172566,172585,178149,183306,187946,192393,197629,202721,202721,209249,215888,222044,228439,234713,239721,239721,245672,251509,257279,263942,270971,276478,276479,282669,289919,295424,298492,304789,308614,308716,322016,337338,351821,366732,434742,442712,443099,449905,451388,451554,457339,464328,472313,472687,488537,507079,514963,525757,532527,538888,539037,546647,556614,562785,572257,577112,583872,584340,593888,602313,606419,616435,628429,635674,635998,648750,655622,664558,667076,675779,684557,349186.0
Moradabad,146161,146161,147405,148422,149407,150416,151009,151633,151628,154887,157860,161368,165102,168232,171690,171689,178382,184417,190091,194964,200464,205833,205833,213625,220805,227944,234915,242309,249363,249364,257209,264639,271693,278622,285287,291946,291946,298931,305184,311314,317113,323333,330209,330209,336093,341048,345905,350728,355225,359927,359915,369417,378845,389439,398069,470121,477845,477845,487329,490044,491125,495906,501347,507713,507753,518396,529429,541484,551924,563601,569583,569583,575555,581633,588399,593803,599329,603592,603592,608987,614571,620939,631647,643189,647359,647360,659530,671076,679162,691664,702324,708159,381049.0
Muzaffarnagar,144963,144961,146926,149179,150421,151011,151212,151246,151236,152527,154076,154890,155602,156760,157373,157373,158877,160443,160981,162594,164065,164581,164580,168062,168995,169106,174479,180668,186358,186471,192255,198764,202179,209080,215446,221942,221942,228929,236060,242366,249943,257594,265100,265118,272036,278586,284904,289526,297745,306822,306838,321406,336119,351650,364119,439126,452190,452193,460473,464934,464947,470131,476284,482127,482132,494425,508830,522524,535240,547603,548752,548752,556940,564697,572140,580200,587146,595043,595043,602191,610147,620833,632400,647479,654107,654110,665501,670687,678926,684843,695633,708026,351557.0
Pilibhit,146791,146791,147862,148820,149909,150855,151603,152439,152439,152982,153365,154843,156285,156875,157834,157834,158595,159306,159975,160852,161776,162522,162522,163205,163957,164543,165893,167449,169525,169525,170911,173230,175363,177367,179386,181802,181802,184586,187374,190142,192893,196865,201276,201276,204238,206880,209319,212196,215839,220114,220175,224581,230284,236525,242692,295884,301660,301677,308422,308959,310853,313491,317001,317958,317958,326073,335792,340945,350783,358049,359044,359044,363961,370319,374946,382775,387033,391876,391876,398675,404012,408579,415684,426634,431559,431560,441209,445756,451316,455593,464151,470930,256264.0
Pratapgarh,123326,123493,124638,125798,127249,128900,130603,132147,132442,133452,134201,135699,137897,138788,139444,139444,140975,142433,143016,143748,144553,145252,145345,147206,148833,150045,151547,153582,155881,156043,157937,161042,163479,166245,168818,171122,171359,175170,178841,182213,186018,190144,194134,194297,196972,200707,203570,206544,209710,212785,212809,218434,227391,233893,242672,307096,312177,312771,318863,322286,323810,327025,332203,337443,338382,346886,357487,365502,372872,382956,389293,390431,396567,403903,412315,417731,423458,428003,428719,436431,445352,450896,460800,474880,481882,482574,494694,503094,513584,518830,530925,541327,261801.0
Prayagraj,276971,277014,281538,286222,291617,296440,301788,308314,308334,314205,320703,327407,333963,339897,346439,346452,356037,365311,373228,381390,389318,397292,397293,409116,420928,432332,442954,453214,463740,463741,472272,480452,488789,496576,504392,511964,511963,519846,527814,535176,543675,553038,563026,563024,571941,580901,589884,600045,610866,620743,620738,632604,647460,662856,681025,826712,837403,837457,848010,852312,852425,861185,870582,878827,878881,893920,909051,925191,940415,956752,967613,967614,978061,987984,1003246,1013725,1024824,1036073,1036078,1048866,1064646,1078067,1099950,1122878,1138283,1138295,1148819,1158752,1170411,1183134,1195696,1210494,671053.0
Rae Bareli,118784,118811,119132,119678,120141,120636,121292,121998,122027,122604,123148,123686,124271,124603,125227,125296,126005,126571,126990,127375,127910,128351,128380,128840,129020,129065,129399,130695,131477,131527,132876,135525,137758,140091,142418,144756,144804,148419,151933,155257,158470,162041,165429,165510,169266,172647,175236,177646,180777,184425,184744,190710,197395,202840,207746,248528,252429,252742,258385,259914,260084,263484,268082,274993,275677,286054,298320,305862,317427,324927,327763,328175,334880,343077,349255,358586,362740,368565,369204,382425,385107,387560,401798,415500,417927,418836,433095,435179,447284,448246,465333,469794,224771.0
Rampur,98271,98270,99048,99655,100142,100660,101207,101727,101723,102121,102447,102764,103254,103551,104086,104086,104610,104991,105213,105337,105978,106618,106620,107130,107583,107993,108321,108813,109799,109798,110944,112820,114765,116554,118297,120445,120445,123816,126940,129616,132322,135116,137732,137732,140379,143073,145317,147275,149017,150529,150528,155183,160552,165603,170349,214385,219484,219484,224611,228914,229905,232267,235915,237910,237910,245104,258586,267564,273111,278855,282549,282551,287550,294798,297041,302566,305812,309449,309449,314897,322071,322565,334957,345257,348753,348753,358369,363056,367263,372139,380199,387596,188900.0
Saharanpur,189583,189584,192457,195161,197493,198153,198378,198610,198598,201743,204876,211148,216428,220802,224952,224953,232168,239020,245678,252626,260975,268719,268721,276382,284828,292841,301322,311282,323088,323326,331459,339729,348742,357211,367436,378161,378162,388686,398082,406427,415150,424235,433713,433810,442190,450588,458348,468911,480077,490442,490447,509891,531297,547461,564369,656593,674093,674165,686244,693272,693297,700621,707820,715637,715640,732544,750683,767313,781973,797409,804208,804211,811503,817839,828242,845108,857570,865139,865143,877947,888021,895004,911463,929028,936780,936781,946617,956629,963287,972016,979526,989135,526168.0
Sambhal,82579,82579,83632,84414,85122,85765,86369,86971,86970,87318,87518,88075,88842,88895,89324,89324,89622,90088,90490,90819,91216,91578,91715,92243,92562,92917,93195,93943,94426,94481,95064,96520,98117,99959,101770,103538,103538,106002,108353,110650,112800,115086,117614,117614,119938,122198,124458,126588,128832,131099,131477,134909,138552,141803,145959,179637,184476,184815,188815,191167,191446,193535,196324,202509,202736,208423,216341,223619,230408,237998,242183,242637,247613,254848,259110,265275,270042,275051,275142,282510,288016,289721,297792,305500,311960,311986,317321,325567,332252,337180,345361,353737,163788.0
Sant Kabir Nagar,73152,73152,73649,74122,74714,75367,75786,76317,76347,76787,77226,77654,78446,78787,79315,79315,79801,80394,80852,81240,81709,83083,83143,84081,85056,86109,86870,87335,87856,87856,88822,90249,91825,93228,95061,96751,96756,99341,101460,103441,105589,108225,111430,111430,113283,115279,117358,119770,122269,125634,125637,129562,133517,137927,140569,171044,173765,173765,178514,180315,180315,182017,184361,187523,187523,192029,197382,202395,206367,212451,215831,215831,219244,224059,226746,232187,233594,236263,236263,243460,246008,251361,256227,265370,270195,270195,277400,280709,286754,288059,295893,300748,147305.0
Shahjahanpur,144480,144527,145680,146665,147425,148233,148830,149481,149479,152178,154871,158033,161693,165095,168939,168965,174146,179050,183421,187819,192366,196809,196809,201956,207399,212226,216158,221399,226135,226194,230514,234448,238598,242701,246942,251047,251056,254919,258447,260930,263953,267470,270895,270895,274493,278791,280882,283908,286503,288998,288997,292719,305278,313933,326422,393329,402089,402208,408474,410223,410270,413527,419137,422652,422749,431033,444924,451696,461094,468875,471026,471028,476337,483233,490272,498664,501283,505578,505581,515046,519108,525163,532854,546220,553779,553841,565966,571005,578699,583766,597609,604011,326658.0
Shamli,69444,69456,70281,71057,72007,72919,73994,75136,75136,75972,76894,78178,79433,80036,81223,81222,82225,83030,83579,84562,85523,86604,86604,87781,88943,89074,89780,91599,93472,93472,95792,97470,99169,101551,103982,106255,106343,109891,112754,115404,118788,122075,125211,125210,128379,130964,132932,135626,138045,141324,141324,147062,153914,160155,165698,199898,202874,202875,204463,207581,208295,211201,214312,217890,217890,222154,229656,232260,239666,245449,246555,246555,249668,253093,256892,261285,265162,266896,266896,270451,275002,276515,281649,286970,289379,289379,294927,300995,302490,307923,312891,318432,162179.0
