District,01-02-2021,02-02-2021,03-02-2021,04-02-2021,05-02-2021,06-02-2021,07-02-2021,08-02-2021,09-02-2021,10-02-2021,11-02-2021,12-02-2021,13-02-2021,14-02-2021,15-02-2021,16-02-2021,17-02-2021,18-02-2021,19-02-2021,20-02-2021,21-02-2021,22-02-2021,23-02-2021,24-02-2021,25-02-2021,26-02-2021,27-02-2021,28-02-2021,01-03-2021,02-03-2021,03-03-2021,04-03-2021,05-03-2021,06-03-2021,07-03-2021,08-03-2021,09-03-2021,10-03-2021,11-03-2021,12-03-2021,13-03-2021,14-03-2021,15-03-2021,16-03-2021,17-03-2021,18-03-2021,19-03-2021,20-03-2021,21-03-2021,22-03-2021,23-03-2021,24-03-2021,25-03-2021,26-03-2021,27-03-2021,28-03-2021,29-03-2021,30-03-2021,31-03-2021,01-04-2021,02-04-2021,03-04-2021,04-04-2021,05-04-2021,06-04-2021,07-04-2021,08-04-2021,09-04-2021,10-04-2021,11-04-2021,12-04-2021,13-04-2021,14-04-2021,15-04-2021,16-04-2021,17-04-2021,18-04-2021,19-04-2021,20-04-2021,21-04-2021,22-04-2021,23-04-2021,24-04-2021,25-04-2021,26-04-2021,27-04-2021,28-04-2021,29-04-2021,30-04-2021,Mean Vaccination
Nicobars,1034,1034,1034,1043,1071,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1070,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1118,1118,1171,1171,1171,1171,1171,1183,1220,1236,1236,1236,1236,1307,1311,1457,1636,1642,1642,1906,2029,2029,2093,2262,2262,2262,2347,2358,2154,2155,2225,2231,2345,2552,2933,3242,3682,3907,4340,4641,5042,5640,5812,6269,6511,6695,7017,7171,7370,7540,7727,7803,7850,7956,8051,8072,8096,8126,2734.0
North and Middle Andaman,2080,2080,2080,2080,2080,2147,2147,2147,2147,2147,2147,2148,2148,2148,2148,2148,2269,2268,2269,2269,2269,2269,2269,2269,2269,2269,2269,2269,2269,2269,2269,2291,2298,2308,2308,2330,2358,2358,2412,2440,2440,2440,2554,2554,2635,2776,2845,2909,2909,3103,3160,3160,3206,3207,3224,3224,3224,3268,3268,3629,3634,3827,3883,4179,4441,5136,5828,6492,7104,7663,9415,12375,15221,17107,19953,22471,24059,25652,26717,27328,27773,28116,28318,28403,28673,28856,29031,29277,29444,7408.0
South Andaman,10684,10684,10706,10867,11000,11104,11183,11183,11183,11183,11183,11285,11354,11354,11421,11440,11556,11281,11674,11674,11674,11674,11674,11674,11674,11674,11674,11674,11674,11949,11968,12099,12224,12390,13187,13467,13643,13834,14092,14335,14496,14550,14720,14721,14949,15115,15215,15373,15379,15535,15747,15777,16029,16168,16273,16273,16273,16428,16480,11652,11770,11946,12563,12975,13452,14562,16293,17524,18852,20009,22516,25596,28793,31859,35117,38469,40521,43006,45085,46203,47920,49358,50675,51612,52661,53547,54291,55044,55923,19748.0
Anantapur,33304,33304,37660,39068,41462,43275,43275,46306,48969,52068,53389,55621,58914,58914,63950,67682,70948,66516,73746,73752,73752,74087,74087,74087,74087,73934,73934,73934,73934,74632,75298,76196,77419,78737,78737,80494,82545,84458,85138,87300,89888,89888,94357,94371,103301,108318,116889,126496,126838,138579,149683,162790,178271,191177,203187,203187,211239,217568,224867,197370,202457,207033,209220,214770,218029,226636,234814,239877,263617,264104,264201,264198,300125,300221,300216,300190,300188,341777,342548,342571,355539,361369,363230,363238,364364,399572,400532,403477,403698,161674.0
Chittoor,47599,47607,49255,51028,53679,56794,57591,60122,62487,66052,68960,72764,78375,79408,83402,87101,93067,87607,98267,98455,99104,99561,99723,99929,100098,94236,94236,94236,94236,96814,98918,100696,103329,106509,106510,109439,112091,115266,115813,119734,123948,123950,131668,131688,147177,156760,166913,177558,177716,190698,202146,214217,230686,242143,253422,253707,256148,265012,274531,250382,257722,264836,268628,274967,278359,287177,296091,298860,315329,320252,325352,325352,382683,384894,385140,385265,385260,385245,409184,409502,413389,433898,442011,442042,467029,475923,479986,483117,496831,204549.0
East Godavari,43533,43533,47624,50931,60580,64507,64520,67527,70994,72996,76050,80652,84539,84539,87707,92696,97297,96280,103332,104017,104348,104348,104350,104350,104350,101401,101401,101401,101401,102674,104011,105493,108615,113655,113658,119798,124948,129621,130030,135624,140722,140722,150883,150924,167375,176298,184551,194793,195161,205060,215190,225681,236877,246471,255958,255995,256912,266293,272600,244819,246847,250385,254066,263550,273082,286575,292320,293487,313351,317651,318898,318893,382145,384491,385365,385743,385734,400457,416119,419581,423967,426580,430295,430314,441809,460576,462370,463294,478496,207855.0
Guntur,42815,42815,44965,46945,48835,52137,52726,55596,58552,60691,62904,69203,76350,77443,85267,94220,103419,94718,109497,113704,113704,113820,113877,113884,113886,108976,108976,108976,108976,110439,111693,113498,114893,117261,117261,119920,122024,124057,125030,127560,130148,130165,134874,134902,143490,149190,154868,162659,163135,170424,177328,184961,197220,203916,214053,214322,218226,224799,230388,195625,202542,208769,213445,220878,225333,236520,249549,259329,272746,279672,281562,281831,335837,340332,340747,340976,341047,348941,363117,368896,373971,393438,402582,402636,432638,441729,443753,445275,461093,188150.0
Krishna,51170,51262,53299,55539,57318,59290,59398,62821,64555,67355,70607,74526,77684,77981,82109,89010,92405,89961,95503,95511,95511,95511,95521,95547,95550,89151,89151,89151,89151,89865,90968,92091,94644,97010,97032,100009,103945,107213,107476,111875,115232,115232,120657,120679,131060,138407,145514,155159,155775,164410,172886,180611,190204,196849,204421,204497,205402,211374,217674,203914,207021,214921,221046,228859,234388,246023,260363,265235,280361,298348,301433,301653,361554,362888,363135,363405,363389,376993,386139,387906,397589,407604,414088,414345,445063,449753,453376,455917,468841,186913.0
Kurnool,32846,32846,35189,37269,38568,39845,40346,41632,43463,46455,48356,51487,53115,53123,59002,65123,68515,68328,72205,72206,72206,72281,72374,72382,72386,72379,72379,72380,72380,72855,73272,73815,74856,76586,76613,78607,80794,83051,83070,85378,87457,87458,92224,92257,101068,106743,112275,118851,119165,128504,140242,150502,162009,169199,178656,178765,184342,189628,197114,170543,174591,181460,186168,195043,200863,212915,228649,231925,248958,257419,257585,257583,290328,292635,292688,292919,293010,303632,305646,306628,312392,322911,330106,330749,336610,351291,356837,360858,366494,150066.0
Prakasam,23248,23248,25993,27694,30203,32236,32314,34906,38379,41713,44938,48386,51319,51681,54747,58259,61112,57448,63240,63330,63330,63330,63330,63332,63345,59219,59219,59219,59219,60602,61529,62257,63231,64595,64603,65947,67589,69503,69868,72500,75286,75286,79480,79519,86885,91191,95656,100776,101020,107179,112215,117613,128237,134602,145562,147357,157387,162809,173597,159080,165142,170378,174524,180097,184455,192690,199437,206098,215261,224818,225553,225605,269432,272922,273065,273132,273130,280738,287283,288583,295390,304307,310527,311716,325249,333264,336897,339158,348627,134364.0
S.P.S. Nellore,34559,34559,37834,39914,42130,44051,44051,45590,46364,47177,48040,49539,52687,52687,56477,60399,63201,61057,65507,65536,65537,68234,68236,68497,68505,67691,67691,67691,67691,70163,71566,73421,76147,78982,78998,81789,84572,87075,87611,90136,92394,92396,96207,96264,103785,110731,119520,129299,129717,139680,149712,157625,164230,169628,174581,179382,184713,190639,194356,178839,183648,187328,194257,198638,201950,205012,213490,216583,230196,236004,238217,238405,281963,284511,284734,284983,284987,290717,294676,295923,306937,312993,315377,315432,336152,340887,342549,343430,357028,147779.0
Srikakulam,29322,29322,30875,32182,33017,33886,33886,35170,35795,36552,37292,38038,39173,39173,41115,44359,48674,47896,51954,51954,51954,51996,51996,52793,52800,52065,52065,52065,52065,53155,54084,55302,57260,60087,60092,62704,65012,67423,67828,70583,73150,73150,76959,76965,83910,87784,91459,95159,95188,98836,102109,105571,111090,114770,120094,120124,123695,131324,138707,131985,136795,143631,146798,154976,158197,165811,177703,180510,193671,196489,196626,196623,237869,237902,237898,237890,237886,241268,242553,243044,247128,257881,267237,267237,271643,286055,293816,298945,301752,117088.0
Visakhapatnam,57782,57783,60971,64601,69228,73041,73071,76728,79894,82956,88672,94266,97804,98351,101250,103852,105714,97639,106881,106881,106881,106886,106886,106906,106915,100742,100742,100742,100742,103177,105229,106772,108392,111017,111026,114731,118010,120624,122609,126147,129340,129340,135093,135120,143957,149248,154462,160330,160561,167227,174066,181060,189329,196494,206968,207329,220971,227520,241760,232554,242583,252057,257986,265591,269767,280832,293363,301124,315550,317224,318582,318642,365663,371467,372420,372917,372917,380383,385205,387577,394599,399497,416002,416151,433692,446702,458452,463987,468812,199607.0
Vizianagaram,17677,18069,20038,21841,24938,26252,26272,26760,27528,28178,28872,30184,30935,30935,35544,40390,41980,35747,44838,44880,44880,46459,46459,46475,46475,45367,45367,45367,45367,46324,47079,48041,48941,50105,50108,51550,52776,54009,54357,55942,57536,57536,60114,60128,65385,68661,71645,74428,74456,78183,81703,85082,90103,94025,99059,99243,101757,104961,108483,100256,104496,109699,112443,115580,117836,124939,135214,139258,153860,166356,166937,166962,200756,201463,201595,201709,201704,205245,206817,209424,211897,217528,222826,222878,228696,237245,243116,246651,249722,95830.0
West Godavari,30964,30964,32085,33093,33904,35189,35191,36057,37151,38519,40270,43313,47853,48164,52464,57396,63388,60729,69006,69006,69006,69006,69008,69010,69010,69158,69158,69158,69158,70281,71540,73199,74836,76734,76734,79340,82194,84663,85386,88394,90804,90818,95875,95896,103758,108151,112667,117782,117852,124297,130639,137406,143767,148808,153755,153752,157309,160574,164999,173891,180758,188276,192901,200154,205717,216966,224377,233756,239855,241215,242053,244585,287104,290505,290732,291049,294132,301495,310173,311533,315203,316573,316852,319046,346283,347115,347805,348624,364735,145753.0
Y.S.R. Kadapa,29521,29533,31395,32396,35158,36800,36803,37578,38682,39813,41610,44007,45770,45771,49047,53203,55784,53288,59412,59421,59421,59431,59436,59448,59474,56687,56687,56687,56687,56975,57311,57657,57956,59070,59070,60500,63041,66270,66270,70564,74677,74677,80261,80271,92410,99606,106495,113055,113181,126015,142745,155458,167133,174976,185934,185934,185948,193309,199081,181785,182878,188041,190225,193701,196346,208236,214637,215024,238596,243374,243424,243422,278074,279670,279734,279762,279756,283635,285112,286014,289020,310041,312185,312188,332458,333918,335557,335678,345882,140485.0
Anjaw,720,722,722,722,746,773,774,776,776,776,801,915,931,931,941,952,952,1109,1160,1160,1160,1160,1160,1160,1160,1159,1159,1159,1159,1170,1176,1176,1201,1202,1202,1202,1209,1209,1219,1219,1226,1226,1229,1229,1257,1280,1307,1320,1320,1345,1374,1374,1402,1523,1592,1592,1592,1671,1671,1336,1392,1446,1531,1567,1580,1589,1612,1642,1652,1658,1679,1738,1749,1749,1850,1871,1888,1935,1948,1985,2026,2055,2080,2129,2204,2219,2304,2342,2421,1379.0
Changlang,5016,5016,5017,5285,5397,5398,5398,5466,5466,5530,5530,5700,5702,5736,5803,5819,5855,5873,5879,5879,5879,5879,5879,5879,5879,5821,5821,5822,5822,5942,5943,6074,6171,6213,6213,6390,6390,6390,6547,6664,6690,6690,6995,6995,6995,7300,7380,7413,7414,7619,7661,7661,7756,7840,7842,7842,7842,7842,7842,4403,4437,4509,4508,4677,4789,4940,5225,5594,5849,6822,8136,9164,10699,10862,11030,11259,11317,11638,11637,11861,12486,13112,13408,13417,13583,14049,14777,15497,16410,7462.0
Upper Dibang Valley,524,524,524,538,538,538,538,549,549,558,558,568,568,568,575,682,682,641,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,717,717,752,821,821,879,951,1006,1009,1022,1115,1121,1150,1246,1267,1267,1281,1299,1299,1324,1342,1358,1358,1358,1376,1081,1167,1174,1193,1193,1193,1193,1192,1189,1188,1201,1200,1279,1290,1289,1287,1284,1284,1317,1310,1310,1309,1344,1375,1375,1372,1380,1378,1398,1405,981.0
East Kameng,850,856,883,901,914,938,939,939,945,949,949,949,1016,1016,1021,1036,1040,935,1080,1080,1080,1080,1080,1080,1080,958,958,958,958,1004,1004,1039,1056,1092,1092,1116,1137,1137,1151,1161,1183,1183,1212,1212,1224,1241,1263,1269,1269,1285,1311,1311,1382,1417,1428,1428,1431,1461,1461,1313,1354,1385,1385,1462,1557,1777,1848,2023,2271,2460,2728,3032,3287,3383,3559,3790,3848,4001,4122,4295,4442,4606,4717,4763,4848,5060,5194,5291,5413,1850.0
East Siang,2402,2415,2422,2439,2493,2543,2543,2617,2617,2673,2763,2792,2896,2896,3102,3102,3111,3156,3227,3227,3227,3227,3227,3227,3227,3212,3212,3212,3212,3341,3341,3497,3561,3624,3624,3729,3767,3767,4050,4189,4244,4244,4450,4450,4534,4888,5141,5167,5167,5548,6001,6001,6664,6870,7514,7514,7514,7666,7666,6727,6854,7232,7279,7347,7443,7816,8430,8766,9205,9391,10014,10558,10909,11022,11328,11544,11582,11840,12171,12465,12705,13072,13287,13324,13727,14080,14347,14707,14957,6295.0
Papum Pare,2328,2330,2371,2513,2543,2663,2664,3052,3190,3193,3673,4036,4286,4329,4791,4832,4888,4531,5207,5207,5208,5208,5300,5346,5346,5342,5342,5342,5342,5407,5411,5513,5657,5707,5707,5754,5817,5817,5876,5962,6051,6051,6182,6182,6266,6397,6481,6589,6589,6659,6742,6742,6885,7013,7144,7144,7244,7339,7339,5592,5606,5938,6127,6378,6609,7340,7807,8425,9092,9454,10102,10886,11531,11832,12205,12763,12996,13692,14624,15540,16238,17308,18196,18532,19628,20670,21891,22964,24021,7798.0
Kamle,468,468,468,484,484,484,484,484,484,484,489,489,489,489,489,489,489,489,489,489,489,489,489,489,489,489,489,489,489,509,509,509,509,509,509,509,509,509,509,509,509,509,541,541,541,541,541,541,541,557,558,558,581,581,581,581,581,581,581,411,420,460,460,488,524,524,597,634,688,690,710,710,744,803,802,870,870,869,879,879,953,994,1030,1030,1030,1055,1088,1176,1186,605.0
Kra Daadi,440,440,440,528,578,578,584,692,692,692,692,694,709,709,713,714,718,658,727,727,727,727,727,727,727,724,724,724,724,726,726,727,727,727,727,727,727,727,727,733,761,761,761,761,761,762,766,767,767,779,822,822,887,907,922,922,922,993,1113,740,762,764,768,785,788,804,829,835,877,981,1108,1136,1146,1156,1195,1218,1218,1241,1266,1270,1298,1316,1359,1381,1427,1454,1485,1517,1547,864.0
Kurung Kumey,787,787,787,788,789,796,808,808,868,868,1032,1032,1032,1083,1083,1083,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1173,1175,1175,1175,1175,1214,1214,1232,1292,1326,1326,1360,1365,1574,1663,1703,1833,1833,1910,2130,2138,2256,2421,2602,2602,2666,2779,2779,2288,2346,2407,2410,2414,2452,2492,2547,2597,2597,2621,2689,2756,2781,2815,2815,2873,2967,3004,3060,3070,3105,3099,3152,3150,3187,3282,3326,3359,3358,1861.0
Lepa Rada,1683,1683,1683,1690,1727,1743,1745,1761,1761,1765,1765,1767,1820,1824,1833,1833,1863,1848,1897,1897,1897,1897,1897,1897,1897,1831,1831,1831,1831,1874,1874,1950,2006,2031,2031,2117,2130,2130,2155,2167,2188,2188,2234,2234,2299,2332,2343,2350,2350,2374,2426,2426,2538,2550,2562,2562,2562,2583,2583,1954,2000,2137,2114,2102,2114,2158,2361,2586,2657,2687,3043,3282,3547,3660,3810,3862,3855,3974,4052,4115,4194,4298,4334,4334,4406,4438,4470,4519,4535,2496.0
Lohit,2933,2933,2933,2966,2973,2986,2986,3013,3013,3014,3164,3221,3295,3295,3295,3295,3295,3467,3478,3478,3478,3478,3478,3478,3478,3475,3475,3475,3475,3502,3502,3540,3557,3570,3570,3570,3609,3609,3634,3665,3679,3679,3688,3688,3702,3721,3762,3780,3780,3800,3830,3830,3858,3868,3887,3887,3887,3894,3894,2481,2466,2548,2540,2657,2722,2785,2938,3073,3171,3205,3511,3794,4008,3988,4111,4210,4210,4462,4601,4651,4922,5007,5174,5174,5439,5584,5740,5998,6231,3676.0
Longding,1806,1806,1821,1849,1849,1879,1886,1985,1986,2011,2153,2250,2300,2300,2517,2517,2532,2438,2633,2633,2633,2634,2634,2634,2634,2632,2632,2632,2632,2770,2770,2811,2830,2861,2861,2998,3045,3046,3080,3109,3157,3157,3185,3188,3268,3369,3504,3567,3582,3677,3741,3740,3761,3830,3859,3859,3874,3904,3904,1961,2002,2065,2074,2094,2103,2166,2205,2230,2281,2288,2316,2352,2406,2409,2422,2462,2463,2614,2750,2787,2887,2950,2981,2991,3092,3191,3242,3345,3394,2738.0
Lower Dibang Valley,1244,1244,1244,1251,1303,1313,1321,1344,1344,1398,1477,1477,1477,1477,1477,1477,1495,1457,1498,1498,1498,1498,1498,1498,1498,1497,1497,1497,1497,1560,1560,1604,1657,1699,1699,1806,1929,1968,2056,2176,2194,2196,2271,2271,2314,2383,2457,2487,2487,2536,2607,2607,2670,2713,2756,2801,2801,2881,2923,2422,2474,2675,2699,2891,2953,3058,3279,3497,3734,3763,4185,4629,5067,5314,5572,5707,5828,6245,6559,6778,7027,7287,7417,7437,7688,7841,8036,8150,8266,3009.0
Lower Siang,793,793,793,818,833,833,833,833,837,837,851,851,862,862,864,865,866,992,992,992,992,992,992,992,992,992,992,992,992,1021,1021,1041,1077,1087,1087,1103,1115,1115,1133,1147,1153,1153,1163,1163,1175,1183,1192,1197,1197,1202,1202,1202,1210,1215,1224,1224,1224,1224,1224,972,970,1011,1011,1011,1024,1041,1158,1188,1199,1199,1325,1458,1762,1870,2044,2062,2062,2254,2451,2483,2807,3036,3284,3282,3437,3498,3551,3791,3826,1381.0
Lower Subansiri,1067,1067,1067,1097,1194,1194,1195,1243,1259,1259,1272,1325,1327,1327,1431,1443,1450,1445,1574,1574,1574,1574,1574,1574,1574,1405,1405,1405,1405,1458,1458,1458,1689,1745,1745,1857,1896,1896,1988,2025,2031,2031,2076,2076,2094,2188,2220,2303,2303,2505,2679,2679,2790,2923,2995,2995,2995,3047,3047,3208,3322,3428,3541,3684,3757,3843,4167,4411,4555,4607,4949,5082,5258,5382,5460,5605,5632,5743,5827,5957,6057,6182,6300,6338,6420,6497,6700,6938,7199,2950.0
Namsai,1697,1697,1697,1750,1765,1765,1770,1800,1849,1896,1896,1973,1973,1973,2109,2109,2126,2193,2225,2225,2225,2225,2227,2227,2227,2216,2216,2216,2216,2323,2323,2445,2576,2742,2742,2910,3150,3150,3289,3452,3606,3606,3807,3807,3970,4054,4145,4439,4444,4607,4703,4703,4802,5005,5018,5018,5018,5121,5121,4762,4817,5014,5079,5243,5363,5552,5663,5915,6132,6181,6559,6730,6774,6771,7084,7408,7407,7778,8406,8625,9219,9842,10143,10180,10719,11148,11522,12029,12422,4551.0
Pakke Kessang,453,454,454,507,507,509,510,536,536,553,553,556,672,672,679,679,682,603,683,683,683,683,683,683,683,645,645,645,645,673,683,685,763,770,770,852,852,852,852,965,965,965,1047,1047,1047,1075,1146,1148,1148,1263,1270,1270,1309,1350,1416,1416,1472,1472,1472,1238,1356,1375,1422,1446,1448,1448,1535,1569,1719,1718,1748,1762,1794,1920,1939,2100,2113,2172,2171,2181,2307,2406,2558,2661,2737,2772,2812,2902,2941,1233.0
Papum Pare,7313,7313,7339,7339,7356,7359,7375,7505,7505,7639,7849,7946,7949,7949,8113,8128,8167,7867,8370,8370,8370,8370,8370,8370,8370,7499,7499,7499,7499,7687,7687,7765,8050,8065,8068,8139,8152,8152,8179,8222,8232,8232,8455,8471,8482,8635,8680,8733,8733,8787,8820,8820,8832,8970,8995,8995,8995,9015,9015,4599,4752,4825,4830,5031,5119,5439,5746,6026,6112,6207,6429,6766,6830,7170,7388,7599,7681,7964,8121,8282,8521,8649,8767,8784,8945,9114,9218,9315,9627,7804.0
Shi Yomi,300,300,326,433,450,450,450,450,450,450,450,450,456,486,505,505,505,378,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,561,595,595,616,631,654,654,671,671,674,688,755,817,819,823,826,826,832,839,856,856,856,861,861,868,1003,1171,1304,1302,1309,1356,1377,1459,1542,1549,1554,1554,1554,1621,1658,1737,1737,1745,1767,1775,1799,1834,1893,1890,1904,1916,1940,1937,1947,924.0
Siang,422,422,422,422,513,513,513,513,513,599,652,664,664,664,664,694,694,694,694,694,694,694,694,694,694,694,694,694,694,702,702,759,849,881,881,925,939,939,998,1028,1028,1028,1066,1066,1074,1082,1095,1206,1268,1440,1461,1461,1763,1790,1877,1877,1937,2118,2118,1937,1988,2120,2349,2465,2495,2512,2749,3032,3117,3124,3201,3260,3259,3278,3421,3461,3461,3541,3617,3641,3751,3849,3855,3855,3911,3910,3972,4100,4177,1715.0
Tawang,2751,2751,2752,2753,2801,2801,2801,2833,2833,2833,2833,2833,2833,2833,2833,2833,2849,2882,2910,2910,2910,2910,2910,2910,2910,2825,2825,2825,2825,2993,2993,3199,3309,3339,3339,3411,3492,3492,3740,3779,3864,3864,3901,3901,3955,4107,4141,4217,4217,4291,4360,4360,4459,4469,4469,4469,4469,4487,4487,4052,4081,4214,4227,4586,4750,4801,5051,5725,5721,5731,6144,6448,6339,6338,6501,6475,6488,6747,6937,7059,7168,7523,7573,7597,7908,7986,8126,8265,8523,4370.0
Tirap,3561,3561,3561,3633,3666,3717,3717,3731,3734,3738,3799,3955,3984,3984,4065,4065,4096,3992,4203,4203,4203,4203,4203,4203,4203,4124,4124,4124,4124,4198,4198,4230,4271,4347,4347,4402,4471,4471,4518,4553,4561,4561,4694,4694,4734,4847,4901,4923,4923,4931,4958,4958,4968,4981,4984,4984,4984,4995,4995,3033,3029,3063,3058,3097,3116,3165,3243,3287,3305,3396,3517,3569,3672,3689,3729,3751,3749,3819,3808,3917,4044,4132,4245,4245,4384,4484,4624,4780,4905,4123.0
Upper Siang,581,581,581,581,698,928,928,928,928,944,988,1070,1114,1115,1115,1146,1148,952,1162,1162,1162,1162,1162,1162,1162,1160,1160,1160,1160,1237,1246,1246,1246,1399,1437,1485,1498,1498,1513,1523,1543,1543,1555,1555,1555,1625,1785,1908,1908,2038,2040,2040,2120,2209,2250,2250,2295,2306,2306,2128,2297,2403,2601,2797,2971,3065,3318,3451,3614,3640,3888,4107,4263,4330,4830,4842,5112,5194,5303,5468,5677,5734,5749,5768,5768,5781,5848,5871,5887,2393.0
Upper Subansiri,1682,1682,1682,1707,1707,1733,1733,1759,1814,1814,1828,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1848,1852,1863,1897,1945,1945,2065,2098,2112,2112,2112,2182,2182,2272,2272,2272,2281,2363,2423,2424,2454,2459,2459,2463,2494,2659,2659,2719,2787,2787,1385,1508,1583,1691,1929,2017,2160,2358,2416,2532,2901,3077,3342,3565,3812,3968,4006,4274,4775,4912,5051,5135,5344,5445,5498,5508,5550,5821,6043,6288,2637.0
West Kameng,3879,3879,3879,3927,3960,3962,3962,3962,3962,3962,3964,3964,3964,3964,4033,4138,4142,4199,4434,4499,4499,4499,4499,4523,4535,4510,4698,5658,5665,6057,6256,6772,7077,7222,7222,7556,7743,7743,8077,8285,8287,8287,8512,8512,8605,8884,8993,9182,9183,9406,9521,9521,9740,9838,9933,9933,9933,9977,9977,7713,7761,8039,8160,8472,8629,8830,9334,9623,9888,10303,10929,11473,11890,11926,12023,12109,12135,12573,12788,12993,13302,13483,13570,13570,13882,14017,14164,14391,14542,8118.0
West Siang,2571,2575,2575,2762,2865,2927,2927,2989,3003,3019,3067,3123,3209,3209,3292,3295,3296,3222,3591,3591,3591,3591,3591,3591,3591,3405,3405,3405,3405,3514,3514,3711,3766,3846,3846,3910,3966,3966,4070,4187,4210,4210,4431,4431,4635,4721,4797,4904,4904,5125,5173,5173,5343,5580,5787,5787,5807,5916,5916,4662,4883,5128,5422,5639,5756,6146,6537,6746,7058,7198,7810,7958,8188,8561,8781,9079,9165,9657,10011,10242,10587,10705,10773,10830,11020,11202,11312,11498,11675,5461.0
Baksa,3579,3579,3579,3648,3882,3964,3964,4205,4318,4347,4641,4846,5103,5115,5369,6334,6338,6447,6907,6907,6907,6907,6907,7087,7164,7169,7169,7169,7169,7439,7830,8235,8550,8912,8995,9450,9799,10090,10304,10529,10779,10841,10988,10990,11574,11924,12185,12548,12659,12973,15142,16240,18343,20099,21953,21977,21977,22982,23509,20213,20849,21166,21234,21708,21894,21943,23651,24943,25980,26156,26899,27307,27361,27361,27440,27546,27602,28375,29614,30311,31886,33162,33719,33825,34549,35246,35754,36499,37663,15757.0
Barpeta,8578,8881,8899,9351,9504,9847,10239,10969,11694,11993,12930,13433,13434,13591,13729,14113,14377,13354,14805,14808,14860,14899,14900,14900,14900,17281,17281,17281,17281,17568,18069,18593,19275,20135,20216,21237,22244,23202,24083,24900,25675,25675,26592,26593,28249,28965,29640,31150,31286,33195,39689,41394,46118,50052,53266,53284,53284,55519,57371,49499,51455,52868,53476,54794,55448,56077,57861,60095,62296,63192,66393,68744,69234,69314,69782,70432,70671,73256,76579,80010,85068,90312,95029,96088,100230,102592,104744,109834,114855,40212.0
Biswanath,4231,4231,4231,4407,4558,4662,4787,4864,4965,5258,5259,5259,5259,5259,5259,5261,5262,5214,5403,5431,5431,5431,5431,5431,5431,6187,6187,6187,6187,6404,7033,8079,9048,9982,10256,10693,11019,11212,11483,11661,11825,11847,12085,12085,12474,12926,13334,13492,13510,14026,17729,18727,19634,20143,20196,20196,20196,20433,20759,18526,18971,19185,19331,19855,20316,21207,21429,21531,21535,21571,21610,21652,21651,21650,21680,22054,22107,23175,25155,26503,27814,28268,28408,28426,30061,31366,31853,33972,36873,14508.0
Bongaigaon,5202,5232,5232,5380,5761,5860,6007,6454,6717,7064,7666,7998,7998,7998,8029,8030,8030,7792,8068,8068,8068,8225,8225,8231,8234,9469,9469,9469,9469,10175,10361,12739,15075,16882,17243,17948,18969,19769,20561,21116,21452,21452,21779,21779,22242,22533,22902,23265,24462,26835,32315,32801,34463,34880,35237,35237,35237,35503,35730,31012,32469,33497,34034,34212,34278,34509,34949,35360,35668,35694,35839,35907,35902,35924,35933,36095,36256,37778,39164,39694,40086,40435,40865,41488,43337,44948,45723,47940,50674,23349.0
Cachar,14536,14594,14673,14962,15269,15708,15808,16400,16977,17594,18588,18941,19124,19124,19124,19129,19565,20524,23247,24230,28030,28030,28030,28030,28031,28035,28035,28035,28035,28359,28692,29159,29967,31180,31399,32361,33461,34277,34799,35426,36275,36275,37042,37062,38112,38503,39047,39498,39503,40276,43874,45113,49106,51639,52064,52102,52272,52514,52582,40437,40466,40643,40930,41365,42166,43518,44983,46327,47217,47412,49001,50071,50302,50363,50721,51817,51981,53704,55894,57015,59684,62953,65828,66523,70503,74108,75095,77156,80256,38436.0
Charaideo,2397,2397,2397,2444,2506,2506,2519,2988,3032,3096,3096,3096,3096,3096,3130,3130,3130,3142,3337,3341,3341,3341,3341,3341,3341,4707,4707,4707,4707,4782,4789,4914,5120,5275,5369,5714,6021,6242,6407,6594,6798,6823,7155,7155,7599,7899,8068,8247,8301,8612,9855,9988,11009,11406,11407,11407,11407,11863,11986,10383,10923,11416,11678,12217,12546,13125,14167,14836,15349,15513,16086,16251,16257,16247,16247,16710,16778,17815,18728,19103,20076,20083,20261,20309,20499,21742,22513,23682,25495,9423.0
Chirang,6640,6640,6640,6728,6778,6874,7007,7014,7296,7353,7499,7513,7513,7513,7668,7668,7668,7266,7822,7822,7822,7822,7822,7822,7822,7827,7827,7827,7827,7887,7890,8975,9857,10524,10639,10860,11037,11060,11272,11451,11595,11595,11770,11770,11944,12114,12208,12304,12305,12494,13591,13618,14502,15114,15144,15144,15144,15467,15489,12721,12871,13035,13080,13203,13226,13228,13827,14173,14164,14133,14472,14515,14509,14505,14465,14488,14481,14622,14865,15034,16401,17632,18258,18254,19276,19811,20117,21784,23226,11781.0
